model,smape,mae,rmse
AutoETS,3.39682474732399,661.8168334960938,1638.506408287743
AutoTheta,3.3536184579133987,626.7691650390625,1440.7654215728528
Naive,3.7437696009874344,736.2262573242188,1614.1292544279097
SeasonalNaive,4.10243384540081,783.6964111328125,1638.1452163956649
CatBoostRegressor,3.8115071909759037,730.9000185689837,1550.1590234316077
PatchTST,3.768746182322502,714.4671020507812,1508.5279248326826
AutoETS_Standard,3.3528804779052734,615.752685546875,1350.9765912109654
AutoTheta_Standard,3.4562189131975174,646.5333251953125,1464.721048527671
Naive_Standard,3.7437692284584045,736.2262573242188,1614.1292544279097
SeasonalNaive_Standard,4.10243347287178,783.6964111328125,1638.1452163956649
CatBoostRegressor_Standard,3.811502162357833,730.8995299981633,1550.1588464982874
PatchTST_Standard,3.502832353115082,663.8085327148438,1449.621329865148
AutoETS_Robust,3.4130938351154327,617.5299072265625,1343.2849195163326
AutoTheta_Robust,3.4339141100645065,641.1240234375,1460.87824612457
Naive_Robust,3.7437692284584045,736.2262573242188,1614.1292544279097
SeasonalNaive_Robust,4.10243384540081,783.6964111328125,1638.1452163956649
CatBoostRegressor_Robust,3.8115050846006535,730.8997399869978,1550.1588351313517
PatchTST_Robust,3.5012178122997284,662.8673095703125,1448.0160133783052
AutoETS_QuantileTransformer,3.301144763827324,611.0411376953125,1382.0785523985242
AutoTheta_QuantileTransformer,3.2645896077156067,628.1828002929688,1436.457535049331
Naive_QuantileTransformer,3.7437714636325836,736.2277221679688,1614.1328941571076
SeasonalNaive_QuantileTransformer,4.10243384540081,783.6966552734375,1638.1459794536017
CatBoostRegressor_QuantileTransformer,3.7358597990774727,722.2145155001915,1553.2521201893637
PatchTST_QuantileTransformer,3.5877835005521774,679.3455810546875,1464.6109551686413
